tip	date	distance	residual
Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06	2021.0986301369862	5.10109E-4	-1.2139819962317985E-4
Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06	2021.0986301369862	5.10109E-4	-1.2139819962317985E-4
USA/fake_180/2021/EPI_ISL_FAKE_180/2021-02-10	2021.109589041096	6.9236E-4	6.0853009896115755E-5
Portugal/fake_47/2020/EPI_ISL_FAKE_47/2020-12-12	2020.9453551912568	4.7367899999999996E-4	-1.5783113003103248E-4
Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22	2021.0575342465754	5.101170000000001E-4	-1.2139098532053813E-4
Ireland/fake_89/2021/EPI_ISL_FAKE_89/2021-01-09	2021.021917808219	5.1011E-4	-1.2139866625824887E-4
Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07	2021.1013698630136	5.829930000000001E-4	-4.85141472433559E-5
Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01	2021.0849315068492	5.100910000000001E-4	-1.2141646152229928E-4
Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12	2020.9453551912568	3.6436399999999994E-4	-2.671461300310325E-4
Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14	2020.950819672131	4.7365899999999997E-4	-1.5785102555761319E-4
Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25	2021.0657534246575	6.558509999999999E-4	2.4343171818933342E-5
USA/fake_181/2021/EPI_ISL_FAKE_181/2021-02-10	2021.109589041096	6.558509999999999E-4	2.4344009896115648E-5
Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26	2020.983606557377	5.10114E-4	-1.213953987170978E-4
Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07	2021.0164383561644	4.0078199999999997E-4	-2.3072677101789672E-4
Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01	2020.5819672131147	1.45747E-4	-4.857700775134121E-4
Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13	2020.5300546448088	1.8218000000000002E-4	-4.4933807001089495E-4
UnitedKingdom/fake_7/2020/EPI_ISL_FAKE_7/2020-08-13	2020.6147540983607	2.5504900000000003E-4	-3.764674506728966E-4
Canada/fake_55/2020/EPI_ISL_FAKE_55/2020-12-14	2020.950819672131	4.0077999999999994E-4	-2.3073002555761322E-4
Canada/fake_32/2020/EPI_ISL_FAKE_32/2020-11-16	2020.8743169398906	2.9148699999999994E-4	-3.400244881854826E-4
UnitedKingdom/fake_193/2021/EPI_ISL_FAKE_193/2021-02-15	2021.123287671233	5.829829999999999E-4	-4.85237282047649E-5
UnitedKingdom/fake_22/2020/EPI_ISL_FAKE_22/2020-10-26	2020.8169398907103	2.9148699999999994E-4	-3.4002558515638476E-4
USA/fake_69/2020/EPI_ISL_FAKE_69/2020-12-27	2020.9863387978141	4.7365999999999993E-4	-1.5784934648038822E-4
Canada/fake_21/2020/EPI_ISL_FAKE_21/2020-10-26	2020.8169398907103	3.2791099999999996E-4	-3.0360158515638474E-4
Canada/fake_106/2021/EPI_ISL_FAKE_106/2021-01-17	2021.0438356164384	6.5588E-4	2.4371752780342213E-5
