"tip.label","GISAID_ID","strain","date","region","country","division","lineageOld","GISAID_clade","Lineage","state"
"Canada/fake_169/2021/EPI_ISL_FAKE_169/2021-02-07","EPI_ISL_FAKE_169","Canada/fake_169/2021","2021-02-07","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_146/2021/EPI_ISL_FAKE_146/2021-02-01","EPI_ISL_FAKE_146","Canada/fake_146/2021","2021-02-01","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_48/2020/EPI_ISL_FAKE_48/2020-12-12","EPI_ISL_FAKE_48","Canada/fake_48/2020","2020-12-12","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_53/2020/EPI_ISL_FAKE_53/2020-12-14","EPI_ISL_FAKE_53","Canada/fake_53/2020","2020-12-14","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_127/2021/EPI_ISL_FAKE_127/2021-01-25","EPI_ISL_FAKE_127","Canada/fake_127/2021","2021-01-25","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"USA/fake_181/2021/EPI_ISL_FAKE_181/2021-02-10","EPI_ISL_FAKE_181","USA/fake_181/2021","2021-02-10","North America","USA","Massachusetts",NA,NA,"B","USA"
"Canada/fake_164/2021/EPI_ISL_FAKE_164/2021-02-06","EPI_ISL_FAKE_164","Canada/fake_164/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_167/2021/EPI_ISL_FAKE_167/2021-02-06","EPI_ISL_FAKE_167","Canada/fake_167/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_67/2020/EPI_ISL_FAKE_67/2020-12-26","EPI_ISL_FAKE_67","Canada/fake_67/2020","2020-12-26","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"UnitedKingdom/fake_185/2021/EPI_ISL_FAKE_185/2021-02-12","EPI_ISL_FAKE_185","UnitedKingdom/fake_185/2021","2021-02-12","Europe","United Kingdom","England",NA,NA,"B","United Kingdom"
"Portugal/fake_94/2021/EPI_ISL_FAKE_94/2021-01-13","EPI_ISL_FAKE_94","Portugal/fake_94/2021","2021-01-13","Europe","Portugal","Portugal",NA,NA,"B","Portugal"
"Portugal/fake_47/2020/EPI_ISL_FAKE_47/2020-12-12","EPI_ISL_FAKE_47","Portugal/fake_47/2020","2020-12-12","Europe","Portugal","Portugal",NA,NA,"B","Portugal"
"Canada/fake_115/2021/EPI_ISL_FAKE_115/2021-01-22","EPI_ISL_FAKE_115","Canada/fake_115/2021","2021-01-22","North America","Canada","Manitoba",NA,NA,"B","Canada_Manitoba"
"Canada/fake_84/2021/EPI_ISL_FAKE_84/2021-01-07","EPI_ISL_FAKE_84","Canada/fake_84/2021","2021-01-07","North America","Canada","Nova Scotia",NA,NA,"B","Canada_Nova Scotia"
"Canada/fake_4/2020/EPI_ISL_FAKE_4/2020-08-01","EPI_ISL_FAKE_4","Canada/fake_4/2020","2020-08-01","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia"
"Canada/fake_3/2020/EPI_ISL_FAKE_3/2020-07-13","EPI_ISL_FAKE_3","Canada/fake_3/2020","2020-07-13","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia"
"UnitedKingdom/fake_7/2020/EPI_ISL_FAKE_7/2020-08-13","EPI_ISL_FAKE_7","UnitedKingdom/fake_7/2020","2020-08-13","Europe","United Kingdom","England",NA,NA,"B","United Kingdom"
"Canada/fake_21/2020/EPI_ISL_FAKE_21/2020-10-26","EPI_ISL_FAKE_21","Canada/fake_21/2020","2020-10-26","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_106/2021/EPI_ISL_FAKE_106/2021-01-17","EPI_ISL_FAKE_106","Canada/fake_106/2021","2021-01-17","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_174/2021/EPI_ISL_FAKE_174/2021-02-08","EPI_ISL_FAKE_174","Canada/fake_174/2021","2021-02-08","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_55/2020/EPI_ISL_FAKE_55/2020-12-14","EPI_ISL_FAKE_55","Canada/fake_55/2020","2020-12-14","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_32/2020/EPI_ISL_FAKE_32/2020-11-16","EPI_ISL_FAKE_32","Canada/fake_32/2020","2020-11-16","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"UnitedKingdom/fake_22/2020/EPI_ISL_FAKE_22/2020-10-26","EPI_ISL_FAKE_22","UnitedKingdom/fake_22/2020","2020-10-26","Europe","United Kingdom","England",NA,NA,"B","United Kingdom"
"USA/fake_69/2020/EPI_ISL_FAKE_69/2020-12-27","EPI_ISL_FAKE_69","USA/fake_69/2020","2020-12-27","North America","USA","Texas",NA,NA,"B","USA"
"USA/fake_15/2020/EPI_ISL_FAKE_15/2020-10-13","EPI_ISL_FAKE_15","USA/fake_15/2020","2020-10-13","North America","USA","California",NA,NA,"B","USA"
"USA/fake_51/2020/EPI_ISL_FAKE_51/2020-12-13","EPI_ISL_FAKE_51","USA/fake_51/2020","2020-12-13","North America","USA","Washington",NA,NA,"B","USA"
"Canada/fake_16/2020/EPI_ISL_FAKE_16/2020-10-14","EPI_ISL_FAKE_16","Canada/fake_16/2020","2020-10-14","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_50/2020/EPI_ISL_FAKE_50/2020-12-12","EPI_ISL_FAKE_50","Canada/fake_50/2020","2020-12-12","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_38/2020/EPI_ISL_FAKE_38/2020-11-28","EPI_ISL_FAKE_38","Canada/fake_38/2020","2020-11-28","North America","Canada","Nova Scotia",NA,NA,"B","Canada_Nova Scotia"
"Canada/fake_128/2021/EPI_ISL_FAKE_128/2021-01-25","EPI_ISL_FAKE_128","Canada/fake_128/2021","2021-01-25","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_83/2021/EPI_ISL_FAKE_83/2021-01-07","EPI_ISL_FAKE_83","Canada/fake_83/2021","2021-01-07","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"UnitedArabEmirates/fake_107/2021/EPI_ISL_FAKE_107/2021-01-18","EPI_ISL_FAKE_107","UnitedArabEmirates/fake_107/2021","2021-01-18","Asia","United Arab Emirates","Abu Dhabi",NA,NA,"B","United Arab Emirates"
"Canada/fake_87/2021/EPI_ISL_FAKE_87/2021-01-08","EPI_ISL_FAKE_87","Canada/fake_87/2021","2021-01-08","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta"
"Spain/fake_112/2021/EPI_ISL_FAKE_112/2021-01-21","EPI_ISL_FAKE_112","Spain/fake_112/2021","2021-01-21","Europe","Spain","Aragon",NA,NA,"B","Spain"
"Italy/fake_132/2021/EPI_ISL_FAKE_132/2021-01-26","EPI_ISL_FAKE_132","Italy/fake_132/2021","2021-01-26","Europe","Italy","Campania",NA,NA,"B","Italy"
"Canada/fake_57/2020/EPI_ISL_FAKE_57/2020-12-17","EPI_ISL_FAKE_57","Canada/fake_57/2020","2020-12-17","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_166/2021/EPI_ISL_FAKE_166/2021-02-06","EPI_ISL_FAKE_166","Canada/fake_166/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_37/2020/EPI_ISL_FAKE_37/2020-11-24","EPI_ISL_FAKE_37","Canada/fake_37/2020","2020-11-24","North America","Canada","New Brunswick",NA,NA,"B","Canada_New Brunswick"
"Canada/fake_56/2020/EPI_ISL_FAKE_56/2020-12-15","EPI_ISL_FAKE_56","Canada/fake_56/2020","2020-12-15","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_85/2021/EPI_ISL_FAKE_85/2021-01-08","EPI_ISL_FAKE_85","Canada/fake_85/2021","2021-01-08","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta"
"France/fake_195/2021/EPI_ISL_FAKE_195/2021-02-16","EPI_ISL_FAKE_195","France/fake_195/2021","2021-02-16","Europe","France","Pays de la Loire",NA,NA,"B","France"
"Spain/fake_9/2020/EPI_ISL_FAKE_9/2020-09-06","EPI_ISL_FAKE_9","Spain/fake_9/2020","2020-09-06","Europe","Spain","Basque Country",NA,NA,"B","Spain"
"UnitedKingdom/fake_70/2020/EPI_ISL_FAKE_70/2020-12-27","EPI_ISL_FAKE_70","UnitedKingdom/fake_70/2020","2020-12-27","Europe","United Kingdom","Scotland",NA,NA,"B","United Kingdom"
"Canada/fake_8/2020/EPI_ISL_FAKE_8/2020-08-20","EPI_ISL_FAKE_8","Canada/fake_8/2020","2020-08-20","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia"
"UnitedKingdom/fake_23/2020/EPI_ISL_FAKE_23/2020-10-27","EPI_ISL_FAKE_23","UnitedKingdom/fake_23/2020","2020-10-27","Europe","United Kingdom","England",NA,NA,"B","United Kingdom"
"Canada/fake_79/2021/EPI_ISL_FAKE_79/2021-01-05","EPI_ISL_FAKE_79","Canada/fake_79/2021","2021-01-05","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta"
"Canada/fake_91/2021/EPI_ISL_FAKE_91/2021-01-10","EPI_ISL_FAKE_91","Canada/fake_91/2021","2021-01-10","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta"
"Canada/fake_101/2021/EPI_ISL_FAKE_101/2021-01-16","EPI_ISL_FAKE_101","Canada/fake_101/2021","2021-01-16","North America","Canada","Nova Scotia",NA,NA,"B","Canada_Nova Scotia"
"Canada/fake_49/2020/EPI_ISL_FAKE_49/2020-12-12","EPI_ISL_FAKE_49","Canada/fake_49/2020","2020-12-12","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_161/2021/EPI_ISL_FAKE_161/2021-02-05","EPI_ISL_FAKE_161","Canada/fake_161/2021","2021-02-05","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_66/2020/EPI_ISL_FAKE_66/2020-12-24","EPI_ISL_FAKE_66","Canada/fake_66/2020","2020-12-24","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta"
"USA/fake_113/2021/EPI_ISL_FAKE_113/2021-01-21","EPI_ISL_FAKE_113","USA/fake_113/2021","2021-01-21","North America","USA","California",NA,NA,"A.1","USA"
"Canada/fake_27/2020/EPI_ISL_FAKE_27/2020-11-05","EPI_ISL_FAKE_27","Canada/fake_27/2020","2020-11-05","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec"
"USA/fake_35/2020/EPI_ISL_FAKE_35/2020-11-23","EPI_ISL_FAKE_35","USA/fake_35/2020","2020-11-23","North America","USA","Michigan",NA,NA,"A.1","USA"
"UnitedKingdom/fake_36/2020/EPI_ISL_FAKE_36/2020-11-24","EPI_ISL_FAKE_36","UnitedKingdom/fake_36/2020","2020-11-24","Europe","United Kingdom","England",NA,NA,"A.1","United Kingdom"
"Canada/fake_82/2021/EPI_ISL_FAKE_82/2021-01-05","EPI_ISL_FAKE_82","Canada/fake_82/2021","2021-01-05","North America","Canada","Nova Scotia",NA,NA,"A.1","Canada_Nova Scotia"
"Canada/fake_173/2021/EPI_ISL_FAKE_173/2021-02-08","EPI_ISL_FAKE_173","Canada/fake_173/2021","2021-02-08","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Canada/fake_191/2021/EPI_ISL_FAKE_191/2021-02-13","EPI_ISL_FAKE_191","Canada/fake_191/2021","2021-02-13","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Thailand/fake_14/2020/EPI_ISL_FAKE_14/2020-10-13","EPI_ISL_FAKE_14","Thailand/fake_14/2020","2020-10-13","Asia","Thailand","Nonthaburi",NA,NA,"A.1","Thailand"
"Canada/fake_63/2020/EPI_ISL_FAKE_63/2020-12-24","EPI_ISL_FAKE_63","Canada/fake_63/2020","2020-12-24","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Canada/fake_68/2020/EPI_ISL_FAKE_68/2020-12-26","EPI_ISL_FAKE_68","Canada/fake_68/2020","2020-12-26","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Canada/fake_44/2020/EPI_ISL_FAKE_44/2020-12-05","EPI_ISL_FAKE_44","Canada/fake_44/2020","2020-12-05","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec"
"Canada/fake_76/2021/EPI_ISL_FAKE_76/2021-01-03","EPI_ISL_FAKE_76","Canada/fake_76/2021","2021-01-03","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta"
"Canada/fake_148/2021/EPI_ISL_FAKE_148/2021-02-02","EPI_ISL_FAKE_148","Canada/fake_148/2021","2021-02-02","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Netherlands/fake_40/2020/EPI_ISL_FAKE_40/2020-11-29","EPI_ISL_FAKE_40","Netherlands/fake_40/2020","2020-11-29","Europe","Netherlands","North Brabant",NA,NA,"A.1","Netherlands"
"SouthAfrica/fake_177/2021/EPI_ISL_FAKE_177/2021-02-09","EPI_ISL_FAKE_177","SouthAfrica/fake_177/2021","2021-02-09","Africa","South Africa","Eastern Cape",NA,NA,"A.1","South Africa"
"USA/fake_24/2020/EPI_ISL_FAKE_24/2020-10-30","EPI_ISL_FAKE_24","USA/fake_24/2020","2020-10-30","North America","USA","New York",NA,NA,"A.1","USA"
"USA/fake_192/2021/EPI_ISL_FAKE_192/2021-02-13","EPI_ISL_FAKE_192","USA/fake_192/2021","2021-02-13","North America","USA","Utah",NA,NA,"A.1","USA"
"France/fake_54/2020/EPI_ISL_FAKE_54/2020-12-14","EPI_ISL_FAKE_54","France/fake_54/2020","2020-12-14","Europe","France","Provence-Alpes-Côte d'Azur",NA,NA,"A.1","France"
"India/fake_131/2021/EPI_ISL_FAKE_131/2021-01-26","EPI_ISL_FAKE_131","India/fake_131/2021","2021-01-26","Asia","India","Telangana",NA,NA,"A.1","India"
"Canada/fake_86/2021/EPI_ISL_FAKE_86/2021-01-08","EPI_ISL_FAKE_86","Canada/fake_86/2021","2021-01-08","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta"
"Canada/fake_175/2021/EPI_ISL_FAKE_175/2021-02-09","EPI_ISL_FAKE_175","Canada/fake_175/2021","2021-02-09","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Russia/fake_129/2021/EPI_ISL_FAKE_129/2021-01-26","EPI_ISL_FAKE_129","Russia/fake_129/2021","2021-01-26","Europe","Russia","Saint-Petersburg",NA,NA,"A.1","Russia"
"Canada/fake_134/2021/EPI_ISL_FAKE_134/2021-01-27","EPI_ISL_FAKE_134","Canada/fake_134/2021","2021-01-27","North America","Canada","Manitoba",NA,NA,"A.1","Canada_Manitoba"
"Canada/fake_42/2020/EPI_ISL_FAKE_42/2020-12-01","EPI_ISL_FAKE_42","Canada/fake_42/2020","2020-12-01","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec"
"Canada/fake_80/2021/EPI_ISL_FAKE_80/2021-01-05","EPI_ISL_FAKE_80","Canada/fake_80/2021","2021-01-05","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta"
"Canada/fake_33/2020/EPI_ISL_FAKE_33/2020-11-19","EPI_ISL_FAKE_33","Canada/fake_33/2020","2020-11-19","North America","Canada","Manitoba",NA,NA,"A.1","Canada_Manitoba"
"Canada/fake_171/2021/EPI_ISL_FAKE_171/2021-02-08","EPI_ISL_FAKE_171","Canada/fake_171/2021","2021-02-08","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Canada/fake_97/2021/EPI_ISL_FAKE_97/2021-01-14","EPI_ISL_FAKE_97","Canada/fake_97/2021","2021-01-14","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta"
"Canada/fake_100/2021/EPI_ISL_FAKE_100/2021-01-16","EPI_ISL_FAKE_100","Canada/fake_100/2021","2021-01-16","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta"
"Canada/fake_72/2020/EPI_ISL_FAKE_72/2020-12-29","EPI_ISL_FAKE_72","Canada/fake_72/2020","2020-12-29","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta"
