"","mean.n","sd.n","mean.perc","sd.perc","subject","geo.type","geo"
"1",1,0,1.21,0.01,1,"Source","Alberta"
"2",1,0,1.21,0.01,1,"Recipient","British Columbia"
"3",1,0,1.21,0.02,2,"Source","Alberta"
"4",1,0,1.21,0.02,2,"Recipient","Manitoba"
"5",1,0,1.21,0.02,3,"Source","Alberta"
"6",1,0,1.21,0.02,3,"Recipient","Maritimes"
"7",2,0,2.42,0.04,4,"Source","Alberta"
"8",2,0,2.42,0.04,4,"Recipient","Ontario"
"9",1,0,1.2,0.02,5,"Source","British Columbia"
"10",1,0,1.2,0.02,5,"Recipient","Alberta"
"11",1,NA,1.19,NA,6,"Source","British Columbia"
"12",1,NA,1.19,NA,6,"Recipient","Ontario"
"13",1,0,1.21,0.02,7,"Source","Maritimes"
"14",1,0,1.21,0.02,7,"Recipient","British Columbia"
"15",2,0.53,1.82,0.65,8,"Source","Maritimes"
"16",2,0.53,1.82,0.65,8,"Recipient","Ontario"
"17",1,0.32,1.33,0.37,9,"Source","Maritimes"
"18",1,0.32,1.33,0.37,9,"Recipient","Quebec"
"19",1,0,1.21,0.02,10,"Source","Ontario"
"20",1,0,1.21,0.02,10,"Recipient","Alberta"
"21",2,0.44,2.16,0.55,11,"Source","Ontario"
"22",2,0.44,2.16,0.55,11,"Recipient","British Columbia"
"23",1,NA,1.25,NA,12,"Source","Ontario"
"24",1,NA,1.25,NA,12,"Recipient","Maritimes"
"25",2,0,2.43,0.04,13,"Source","Ontario"
"26",2,0,2.43,0.04,13,"Recipient","Quebec"
"27",3,0.42,3.87,0.46,14,"Source","Quebec"
"28",3,0.42,3.87,0.46,14,"Recipient","Alberta"
"29",1,0,1.21,0.02,15,"Source","Quebec"
"30",1,0,1.21,0.02,15,"Recipient","British Columbia"
"31",1,0,1.21,0.02,16,"Source","Quebec"
"32",1,0,1.21,0.02,16,"Recipient","Manitoba"
"33",3,0.32,3.51,0.4,17,"Source","Quebec"
"34",3,0.32,3.51,0.4,17,"Recipient","Maritimes"
"35",5,1.07,5.56,1.24,18,"Source","Quebec"
"36",5,1.07,5.56,1.24,18,"Recipient","Ontario"
