Entry ID,Jurisdiction ,Date,Action,Intervention Category,Intervention type,Description,Organization
AB002,Alta.,2020-02-06,New,Case management,Self-isolation,Guidance on self-isolation published,"Government of Alberta
"
AB004,Alta.,2020-03-13,New,Distancing,Gatherings,Gatherings of more than 250 people prohibited,"Government of Alberta, Premier, Chief Medical Officer of Health"
AB005,Alta.,2020-03-15,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from international travel announced,"Government of Alberta
"
AB007,Alta.,2020-03-16,New,Health services,Visitors,Recommendation to restrict visitor access to long-term care to essential visitors issued ,"Government of Alberta, Alberta Health Services, Premier, Chief Medical Officer of Health"
AB009,Alta.,2020-03-27,New,Distancing,Gatherings,Gatherings of more than 15 people prohibited ,"Government of Alberta, Premier, Chief Medical Officer of Health"
AB010,Alta.,2020-03-27,New,Closures/openings,Non-essential services,Restaurants (except takeout/delivery) closed,"Government of Alberta, Premier, Chief Medical Officer of Health
"
AB016,Alta.,2020-04-01,New,Health workforce,Safety guidelines,Infection prevention protocols in continuing care facilities implemented,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
"
AB019,Alta.,2020-04-03,New,Health services,Visitors,Visitor access to hospitals (with exceptions) suspended,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health"
AB021,Alta.,2020-04-06,New,Public information,Masks,Recommendation for the use of face masks issued,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health"
AB026,Alta.,2020-04-10,New,Health workforce,Safety guidelines,Requirement for health workers to wear masks while providing direct care issued,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health"
AB029,Alta.,2020-03-01,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for licensed practical nurses announced,"College of Licensed Practical Nurses of Alberta 
"
AB032,Alta.,2020-03-13,New,Health workforce,Safety guidelines,Daily fit-for-work screening of health care staff announced,"Alberta Health Services 
"
AB033,Alta.,2020-03-15,New,Closures/openings,Education,Schools closed,"Government of Alberta, Chief Medical Officer of Health, Premier"
AB034,Alta.,2020-03-15,New,Closures/openings,Daycares,Daycares closed (with exceptions),"Government of Alberta, Chief Medical Officer of Health, Premier"
AB035,Alta.,2020-03-15,New,Closures/openings,Education,First post-secondary school closure in province,"Government of Alberta, Chief Medical Officer of Health, Premier"
AB036,Alta.,2020-03-16,New,Health services,Telemedicine/virtual care,Virtual care guidelines for audiologists and speech–language pathologists published,Alberta College of Speech–Language Pathologists and Audiologists 
