"","Province","month","Type","mean.n","sd.n"
"1","Alberta","2020-01","Prop.USA",NA,NA
"2","Alberta","2020-01","Prop.international",NA,NA
"3","Alberta","2020-01","Prop.totalinternational",NA,NA
"4","Alberta","2020-01","Prop.domestic",NA,NA
"5","Alberta","2020-01","Prop.provincial",NA,NA
"6","Alberta","2020-02","Prop.USA",NA,NA
"7","Alberta","2020-02","Prop.international",NA,NA
"8","Alberta","2020-02","Prop.totalinternational",NA,NA
"9","Alberta","2020-02","Prop.domestic",NA,NA
"10","Alberta","2020-02","Prop.provincial",NA,NA
"11","Alberta","2020-03","Prop.USA",0.144398766700925,0.0048750426415751
"12","Alberta","2020-03","Prop.international",0.19726618705036,0.00864507561772651
"13","Alberta","2020-03","Prop.totalinternational",0.341664953751285,0.00377003297615141
"14","Alberta","2020-03","Prop.domestic",0.206572456320658,0.00180376577738279
"15","Alberta","2020-03","Prop.provincial",0.451762589928058,0.00557379875353418
"16","Alberta","2020-04","Prop.USA",0.0058770485850541,0.000544155600499412
"17","Alberta","2020-04","Prop.international",0.00937951374599563,0.00126629409963814
"18","Alberta","2020-04","Prop.totalinternational",0.0152565623310497,0.000722138499138728
"19","Alberta","2020-04","Prop.domestic",0.00872852566430237,0.000747655760592393
"20","Alberta","2020-04","Prop.provincial",0.976014912004648,0.00146979425973112
"21","Alberta","2020-05","Prop.USA",0.00619322518571075,0.00101645974606846
"22","Alberta","2020-05","Prop.international",0.00033003300330033,0.00104365599345491
"23","Alberta","2020-05","Prop.totalinternational",0.00652325818901108,2.71962473864471e-05
"24","Alberta","2020-05","Prop.domestic",0.00326162909450554,1.35981236932236e-05
"25","Alberta","2020-05","Prop.provincial",0.990215112716483,4.07943710796722e-05
"26","Alberta","2020-06","Prop.USA",NA,NA
"27","Alberta","2020-06","Prop.international",NA,NA
"28","Alberta","2020-06","Prop.totalinternational",NA,NA
"29","Alberta","2020-06","Prop.domestic",NA,NA
"30","Alberta","2020-06","Prop.provincial",NA,NA
"31","Alberta","2020-07","Prop.USA",0,0
"32","Alberta","2020-07","Prop.international",0,0
"33","Alberta","2020-07","Prop.totalinternational",0,0
"34","Alberta","2020-07","Prop.domestic",0,0
"35","Alberta","2020-07","Prop.provincial",1,0
"36","Alberta","2020-08","Prop.USA",NA,NA
"37","Alberta","2020-08","Prop.international",NA,NA
"38","Alberta","2020-08","Prop.totalinternational",NA,NA
"39","Alberta","2020-08","Prop.domestic",NA,NA
"40","Alberta","2020-08","Prop.provincial",NA,NA
"41","Alberta","2020-09","Prop.USA",NA,NA
"42","Alberta","2020-09","Prop.international",NA,NA
"43","Alberta","2020-09","Prop.totalinternational",NA,NA
"44","Alberta","2020-09","Prop.domestic",NA,NA
"45","Alberta","2020-09","Prop.provincial",NA,NA
"46","Alberta","2020-10","Prop.USA",NA,NA
"47","Alberta","2020-10","Prop.international",NA,NA
"48","Alberta","2020-10","Prop.totalinternational",NA,NA
"49","Alberta","2020-10","Prop.domestic",NA,NA
"50","Alberta","2020-10","Prop.provincial",NA,NA
"51","Alberta","2020-11","Prop.USA",NA,NA
"52","Alberta","2020-11","Prop.international",NA,NA
"53","Alberta","2020-11","Prop.totalinternational",NA,NA
"54","Alberta","2020-11","Prop.domestic",NA,NA
"55","Alberta","2020-11","Prop.provincial",NA,NA
"56","Alberta","2020-12","Prop.USA",NA,NA
"57","Alberta","2020-12","Prop.international",NA,NA
"58","Alberta","2020-12","Prop.totalinternational",NA,NA
"59","Alberta","2020-12","Prop.domestic",NA,NA
"60","Alberta","2020-12","Prop.provincial",NA,NA
"61","Alberta","2021-01","Prop.USA",NA,NA
"62","Alberta","2021-01","Prop.international",NA,NA
"63","Alberta","2021-01","Prop.totalinternational",NA,NA
"64","Alberta","2021-01","Prop.domestic",NA,NA
"65","Alberta","2021-01","Prop.provincial",NA,NA
"66","British Columbia","2020-01","Prop.USA",NA,NA
"67","British Columbia","2020-01","Prop.international",NA,NA
"68","British Columbia","2020-01","Prop.totalinternational",NA,NA
"69","British Columbia","2020-01","Prop.domestic",NA,NA
"70","British Columbia","2020-01","Prop.provincial",NA,NA
"71","British Columbia","2020-02","Prop.USA",0.0166666666666667,0.052704627669473
"72","British Columbia","2020-02","Prop.international",0.166666666666667,0
"73","British Columbia","2020-02","Prop.totalinternational",0.183333333333333,0.052704627669473
"74","British Columbia","2020-02","Prop.domestic",0,0
"75","British Columbia","2020-02","Prop.provincial",0.816666666666667,0.052704627669473
"76","British Columbia","2020-03","Prop.USA",0.256609677419355,0.00192796928313491
"77","British Columbia","2020-03","Prop.international",0.15531935483871,0.00215238898805009
"78","British Columbia","2020-03","Prop.totalinternational",0.411929032258064,0.000224419704915161
"79","British Columbia","2020-03","Prop.domestic",0.0240193548387097,6.12053740677747e-05
"80","British Columbia","2020-03","Prop.provincial",0.564051612903226,0.000163214330847434
"81","British Columbia","2020-04","Prop.USA",0.0878254352588493,0.000980805592742182
"82","British Columbia","2020-04","Prop.international",0.0373008186325378,4.01072918965198e-05
"83","British Columbia","2020-04","Prop.totalinternational",0.125126253891387,0.00094069830084566
"84","British Columbia","2020-04","Prop.domestic",0.0528951919750951,0.00424408070614089
"85","British Columbia","2020-04","Prop.provincial",0.821978554133518,0.00518477900698658
"86","British Columbia","2020-05","Prop.USA",0.0264705882352941,0.00930081664755406
"87","British Columbia","2020-05","Prop.international",0.0323529411764706,0.00930081664755406
"88","British Columbia","2020-05","Prop.totalinternational",0.0588235294117647,0
"89","British Columbia","2020-05","Prop.domestic",0,0
"90","British Columbia","2020-05","Prop.provincial",0.941176470588235,0
"91","British Columbia","2020-06","Prop.USA",NA,NA
"92","British Columbia","2020-06","Prop.international",NA,NA
"93","British Columbia","2020-06","Prop.totalinternational",NA,NA
"94","British Columbia","2020-06","Prop.domestic",NA,NA
"95","British Columbia","2020-06","Prop.provincial",NA,NA
"96","British Columbia","2020-07","Prop.USA",NA,NA
"97","British Columbia","2020-07","Prop.international",NA,NA
"98","British Columbia","2020-07","Prop.totalinternational",NA,NA
"99","British Columbia","2020-07","Prop.domestic",NA,NA
"100","British Columbia","2020-07","Prop.provincial",NA,NA
"101","British Columbia","2020-08","Prop.USA",NA,NA
"102","British Columbia","2020-08","Prop.international",NA,NA
"103","British Columbia","2020-08","Prop.totalinternational",NA,NA
"104","British Columbia","2020-08","Prop.domestic",NA,NA
"105","British Columbia","2020-08","Prop.provincial",NA,NA
"106","British Columbia","2020-09","Prop.USA",NA,NA
"107","British Columbia","2020-09","Prop.international",NA,NA
"108","British Columbia","2020-09","Prop.totalinternational",NA,NA
"109","British Columbia","2020-09","Prop.domestic",NA,NA
"110","British Columbia","2020-09","Prop.provincial",NA,NA
"111","British Columbia","2020-10","Prop.USA",0.0112359550561798,0
"112","British Columbia","2020-10","Prop.international",0.0112359550561798,0
"113","British Columbia","2020-10","Prop.totalinternational",0.0224719101123595,0
"114","British Columbia","2020-10","Prop.domestic",0.0314606741573034,0.00710624193296265
"115","British Columbia","2020-10","Prop.provincial",0.946067415730337,0.00710624193296267
"116","British Columbia","2020-11","Prop.USA",0.00348258706467662,0.0110129072742182
"117","British Columbia","2020-11","Prop.international",0.00986201994951352,3.10004427141962e-05
"118","British Columbia","2020-11","Prop.totalinternational",0.0133446070141901,0.0110439077169324
"119","British Columbia","2020-11","Prop.domestic",0.0394480797980541,0.000124001770856785
"120","British Columbia","2020-11","Prop.provincial",0.947207313187756,0.0111679094877892
"121","British Columbia","2020-12","Prop.USA",NA,NA
"122","British Columbia","2020-12","Prop.international",NA,NA
"123","British Columbia","2020-12","Prop.totalinternational",NA,NA
"124","British Columbia","2020-12","Prop.domestic",NA,NA
"125","British Columbia","2020-12","Prop.provincial",NA,NA
"126","British Columbia","2021-01","Prop.USA",0,0
"127","British Columbia","2021-01","Prop.international",1,0
"128","British Columbia","2021-01","Prop.totalinternational",1,0
"129","British Columbia","2021-01","Prop.domestic",0,0
"130","British Columbia","2021-01","Prop.provincial",0,0
"131","Manitoba","2020-01","Prop.USA",NA,NA
"132","Manitoba","2020-01","Prop.international",NA,NA
